direction,fit_n,heldout_n,coordinates,fit_contract,observed_r2,n_bootstrap,bootstrap_seed,bootstrap_mean,bootstrap_median,ci_low,ci_high
fast,64,64,direction_pc2_pc3,fit-only first harmonic; frozen for heldout bootstrap,0.8887798831503815,20000,20270820,0.8866929732491521,0.8869724483649606,0.8670916174494125,0.9041622604510293
slow,64,64,direction_pc2_pc3,fit-only first harmonic; frozen for heldout bootstrap,0.9481362928414752,20000,20270820,0.9471972778206084,0.9477110289121298,0.9311566005448753,0.9602792238582214
