seed,step_k,n_pairs_fast,n_pairs_slow,D_fast_sites,D_slow_sites,D_mean_sites,P,P_slow,P_fast,omega_mae,validity
3407,5,128,128,10.6953125,11.9765625,11.3359375,0.5667613636363636,0.5880681818181818,0.5454545454545454,1.2212020481425048,1.0
3407,10,128,128,10.8828125,12.296875,11.58984375,0.6187766714082503,0.6267806267806267,0.6107954545454546,1.0731306477786875,0.9985795454545454
3407,20,128,128,9.546875,13.375,11.4609375,0.6903409090909091,0.7613636363636364,0.6193181818181818,0.9017616502116208,1.0
3407,50,128,128,8.125,12.6953125,10.41015625,0.7286931818181818,0.7755681818181818,0.6818181818181818,0.7859834673689541,1.0
3407,80,128,128,8.34375,13.3984375,10.87109375,0.7627840909090909,0.8011363636363636,0.7244318181818182,0.6924528578316965,1.0
3407,100,128,128,7.4921875,12.7265625,10.109375,0.765625,0.8125,0.71875,0.7055421585684171,1.0
3408,5,128,128,7.984375,11.734375,9.859375,0.5795454545454546,0.6960227272727273,0.4630681818181818,1.172815210121198,1.0
3408,10,128,128,7.8984375,11.1015625,9.5,0.6036931818181818,0.7159090909090909,0.4914772727272727,1.12243535082152,1.0
3408,20,128,128,7.8515625,10.078125,8.96484375,0.5639204545454546,0.6789772727272727,0.4488636363636363,1.1482428884711948,1.0
3408,50,128,128,8.0390625,8.5859375,8.3125,0.5980113636363636,0.65625,0.5397727272727273,1.1355441296825128,1.0
3408,80,128,128,7.984375,8.34375,8.1640625,0.5795454545454546,0.6193181818181818,0.5397727272727273,1.1339183973672704,1.0
3408,100,128,128,8.109375,8.3515625,8.23046875,0.5880681818181818,0.6534090909090909,0.5227272727272727,1.1400787034013924,1.0
3409,5,128,128,10.8203125,11.546875,11.18359375,0.4517045454545454,0.4460227272727273,0.4573863636363636,1.4110014404029891,1.0
3409,10,128,128,10.3984375,11.1015625,10.75,0.4588068181818182,0.4886363636363636,0.4289772727272727,1.34707318918299,1.0
3409,20,128,128,9.875,10.84375,10.359375,0.4971590909090909,0.5397727272727273,0.4545454545454545,1.2397246747987702,1.0
3409,50,128,128,8.859375,11.0859375,9.97265625,0.5127840909090909,0.5454545454545454,0.4801136363636363,1.2037974855377855,1.0
3409,80,128,128,9.3515625,10.671875,10.01171875,0.5127840909090909,0.5255681818181818,0.5,1.2180578831770277,1.0
3409,100,128,128,9.0234375,11.140625,10.08203125,0.4985795454545454,0.5,0.4971590909090909,1.2469135058253067,1.0
3410,5,128,128,11.3984375,11.3125,11.35546875,0.5426136363636364,0.5426136363636364,0.5426136363636364,1.2838852774405256,1.0
3410,10,128,128,10.5859375,11.8671875,11.2265625,0.546875,0.5681818181818182,0.5255681818181818,1.165469630724349,1.0
3410,20,128,128,10.5625,11.984375,11.2734375,0.578125,0.6448863636363636,0.5113636363636364,1.1654516550429734,1.0
3410,50,128,128,10.765625,11.1640625,10.96484375,0.609375,0.625,0.59375,1.0999612478496728,1.0
3410,80,128,128,10.265625,10.9375,10.6015625,0.5951704545454546,0.6107954545454546,0.5795454545454546,1.1106987581967405,1.0
3410,100,128,128,10.6953125,11.0390625,10.8671875,0.6136363636363636,0.6363636363636364,0.5909090909090909,1.0926109103865953,1.0
3411,5,128,128,8.8828125,9.0,8.94140625,0.4743589743589743,0.4431818181818182,0.5057142857142857,1.4587436208795397,0.9971590909090908
3411,10,128,128,8.7890625,8.9765625,8.8828125,0.465149359886202,0.4488636363636363,0.4814814814814814,1.3681852551820328,0.9985795454545454
3411,20,128,128,8.7890625,8.9453125,8.8671875,0.4730113636363636,0.3835227272727273,0.5625,1.3275217505987824,1.0
3411,50,128,128,8.59375,9.0,8.796875,0.5085227272727273,0.4744318181818182,0.5426136363636364,1.273787947492749,1.0
3411,80,128,128,8.53125,8.9765625,8.75390625,0.5298295454545454,0.4801136363636363,0.5795454545454546,1.2442550538644463,1.0
3411,100,128,128,8.3515625,8.9609375,8.65625,0.5184659090909091,0.4573863636363636,0.5795454545454546,1.2547285631296303,1.0
3412,5,128,128,10.6484375,10.9765625,10.8125,0.5411931818181818,0.6136363636363636,0.46875,1.2491659305665437,1.0
3412,10,128,128,10.5078125,10.921875,10.71484375,0.6008522727272727,0.6619318181818182,0.5397727272727273,1.0977547347321766,1.0
3412,20,128,128,10.6015625,10.9140625,10.7578125,0.6448863636363636,0.6903409090909091,0.5994318181818182,0.968314728535694,1.0
3412,50,128,128,10.2421875,10.515625,10.37890625,0.6661931818181818,0.6875,0.6448863636363636,0.9188906486339656,1.0
3412,80,128,128,9.921875,10.8046875,10.36328125,0.6775568181818182,0.6875,0.6676136363636364,0.9075979683775915,1.0
3412,100,128,128,10.0703125,10.875,10.47265625,0.6619318181818182,0.6903409090909091,0.6335227272727273,0.9237614391475062,1.0
3413,5,128,128,13.625,15.2265625,14.42578125,0.4971590909090909,0.5369318181818182,0.4573863636363636,1.4058668224515176,1.0
3413,10,128,128,13.5703125,15.2109375,14.390625,0.5241477272727273,0.5738636363636364,0.4744318181818182,1.2599936800698777,1.0
3413,20,128,128,12.9140625,15.2734375,14.09375,0.5482954545454546,0.5738636363636364,0.5227272727272727,1.1468173850473269,1.0
3413,50,128,128,12.5625,14.9765625,13.76953125,0.5724431818181818,0.6193181818181818,0.5255681818181818,1.1065647091265345,1.0
3413,80,128,128,12.7734375,14.9921875,13.8828125,0.578125,0.6136363636363636,0.5426136363636364,1.0500363369849877,1.0
3413,100,128,128,12.265625,15.1328125,13.69921875,0.5795454545454546,0.6136363636363636,0.5454545454545454,1.0708535197924407,1.0
3414,5,128,128,3.515625,4.3203125,3.91796875,0.4957386363636363,0.5255681818181818,0.4659090909090909,1.3914748750551704,1.0
