trajectory_id,pair_id,direction,theta_boundary,phase_coordinate_1,phase_coordinate_2
traj_8fdd720228f95cd00089,pair_8fdd720228f95cd00089,fast,2.255860914925125,-53.19656143638878,60.112410896694655
traj_9010c3088d633ca99d25,pair_9010c3088d633ca99d25,fast,4.82131929832872,-23.971304507863266,-95.19421291393778
traj_90237f529b6cebb6de89,pair_90237f529b6cebb6de89,fast,2.7268882918143005,-60.564919801718965,48.73352851909088
traj_91038d1217db3052bcf1,pair_91038d1217db3052bcf1,fast,0.7149064045531786,61.307615173190385,61.09602362175342
traj_92958457107e7b98d871,pair_92958457107e7b98d871,fast,2.49135542324068,-68.04054642099933,62.77431680406703
traj_97f5dc19cd33b4b9d6ab,pair_97f5dc19cd33b4b9d6ab,fast,2.496621990834515,-65.78130684103165,65.85944523432508
traj_9a6cd94f930ae9b2412a,pair_9a6cd94f930ae9b2412a,fast,0.7957144171846081,64.6507384675145,61.94320355896398
traj_9b3acabe03347f42ec03,pair_9b3acabe03347f42ec03,fast,5.983447279795086,81.71476369254361,-6.5793065054355
traj_9be539bd255a4c1f011d,pair_9be539bd255a4c1f011d,fast,1.9689132066501422,-36.10854074712085,54.92907836193887
traj_9c4cd5456cd4e5887f32,pair_9c4cd5456cd4e5887f32,fast,2.091280120840241,-45.83324074677827,56.94634181071409
traj_9c9b9ed9c3dcfbc5fce6,pair_9c9b9ed9c3dcfbc5fce6,fast,4.659049176145028,-35.939093131056346,-88.46529148873502
traj_a019ab8ca5fae8935f44,pair_a019ab8ca5fae8935f44,fast,4.966029630821143,-5.4618759941260855,-97.50015954441865
traj_a0f840cbfe29cb0f40d1,pair_a0f840cbfe29cb0f40d1,fast,1.9598168924508876,-30.56942703157761,53.0384007327079
traj_a2cba0980d0878a34d2a,pair_a2cba0980d0878a34d2a,fast,4.613765226318427,-35.89755530179226,-84.39105110909018
traj_a40283f911aa3c5b512f,pair_a40283f911aa3c5b512f,fast,0.028311458164682776,51.2623745684526,38.899611098263065
traj_a4211c44df35f4eff61f,pair_a4211c44df35f4eff61f,fast,5.088559924764421,13.478612816324965,-93.3925481925155
traj_a49c1b3c81783e1e34a2,pair_a49c1b3c81783e1e34a2,fast,5.662288987479378,73.59418524560748,-48.502089955234155
traj_a4afb9c929a02bc31007,pair_a4afb9c929a02bc31007,fast,2.0619647200385947,-33.40467004238923,53.44921981093794
traj_a58fa2e8554beb9e5d9d,pair_a58fa2e8554beb9e5d9d,fast,5.78817627602515,80.92810519857633,-43.80956766793858
traj_a5b8ba03384289328049,pair_a5b8ba03384289328049,fast,2.184552027668242,-54.673905600661136,60.753641887546976
traj_a63ae50e2551891f8a13,pair_a63ae50e2551891f8a13,fast,0.6924256942706527,46.83027429031672,43.2221768933522
traj_a90b067f0fe75ac30ffb,pair_a90b067f0fe75ac30ffb,fast,0.47441872539372837,56.360786964200095,57.41438551370295
traj_aa6fb9abaee6cba7a0ca,pair_aa6fb9abaee6cba7a0ca,fast,1.1775872453037863,51.62161219221715,52.10167602828384
traj_aae1a1d55a6b15ccbe12,pair_aae1a1d55a6b15ccbe12,fast,6.224955884276688,79.0874254835279,-4.4314908723197295
traj_ac80eedd7b9029d3d042,pair_ac80eedd7b9029d3d042,fast,0.6986914782056239,65.47725953128518,60.69275343433906
traj_ad4490dffb349806b439,pair_ad4490dffb349806b439,fast,5.313519604665816,42.036879285093406,-74.63804316961907
traj_b1b805e568427b8b596c,pair_b1b805e568427b8b596c,fast,2.717181967581733,-65.52365777238555,60.353485959042615
traj_b1c5e202df6f2b283fa0,pair_b1c5e202df6f2b283fa0,fast,5.914450181429788,86.64158533989787,-22.787641522087657
traj_b27803620e59f43d3feb,pair_b27803620e59f43d3feb,fast,5.418500118202732,44.9588973872571,-74.3145747408564
traj_b310042dc53da5331868,pair_b310042dc53da5331868,fast,2.167187006292699,-50.50030867146539,59.17089005746325
traj_b57f78cecaa8960416de,pair_b57f78cecaa8960416de,fast,4.786031084322686,-21.305918656766494,-95.95423466295172
traj_b7126b9ce745ccf71985,pair_b7126b9ce745ccf71985,fast,1.3153523832406784,40.398458726629926,49.96958118163875
traj_b807d61bb3768a16886a,pair_b807d61bb3768a16886a,fast,4.622068275955761,-39.156869188047345,-86.60257530009576
traj_b83701d5a0618172bdf7,pair_b83701d5a0618172bdf7,fast,2.309009990926167,-62.26738845150456,63.347644037274364
traj_b8b8a21a940cbee2a4c9,pair_b8b8a21a940cbee2a4c9,fast,5.153006969938043,14.909850676820682,-91.78261686313277
traj_b8d7fbe8787c01eb5430,pair_b8d7fbe8787c01eb5430,fast,1.1769878619641354,55.372022292023445,53.990935351489725
traj_b91489416b8c9c3b42bb,pair_b91489416b8c9c3b42bb,fast,4.282923585851569,-51.75939316733043,-62.76324316087321
traj_ba1cd7127c99582333e2,pair_ba1cd7127c99582333e2,fast,5.744157590224137,82.4851782081225,-42.53273871846506
traj_bcb206706b321f4cc1da,pair_bcb206706b321f4cc1da,fast,3.8126940683848423,-44.45091018266839,-50.149123594324465
traj_bf78e225423e2610b890,pair_bf78e225423e2610b890,fast,5.000106117200665,-3.188360857986699,-96.63120154841562
traj_c19b892befcee4783837,pair_c19b892befcee4783837,fast,4.785210063466425,-21.037608519394475,-95.4724024755737
traj_c68663681e6ab9851166,pair_c68663681e6ab9851166,fast,5.332571499577436,38.618588575183054,-78.33411292813373
traj_c83fad68f4e16a1c3b16,pair_c83fad68f4e16a1c3b16,fast,0.08363871559477258,65.11792173527272,26.66498595798497
traj_c86a11881754cd68b69e,pair_c86a11881754cd68b69e,fast,5.624789504539243,62.140201021590585,-61.469926034220954
traj_ca457c059e72fcd3087a,pair_ca457c059e72fcd3087a,fast,5.538308702286993,69.51800055639562,-52.47351505284415
traj_ca7517b74f00e7b9df95,pair_ca7517b74f00e7b9df95,fast,0.7153969414969864,61.474935286177214,54.07748871409451
