gain,N,mean_R,median_R,R_ci_low,R_ci_high,P,S,C,O,outside_band,valid,mean_rmse
2,48,0.04479646486003316,0.035227793533358365,0.03482379126062931,0.05530861658404259,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.006690743164467844
4,48,0.10141426212931041,0.06717880140588536,0.05826773799243855,0.15399949928926296,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,1.0,0.017879325325906477
6,48,0.6618435588714155,0.7416159250585481,0.5325294571127664,0.7903377381474744,0.3541666666666667,0.041666666666666664,0.4583333333333333,0.14583333333333334,0.020833333333333332,1.0,0.02171434398244855
8,48,1.047612460755199,1.0871425341010958,0.9347272415215488,1.1534849403827907,0.5625,0.0,0.20833333333333334,0.22916666666666666,0.16666666666666666,1.0,0.017865937701306452
10,48,1.1003401089253784,1.1317559991029378,0.9997680965204052,1.197490164412887,0.4791666666666667,0.0,0.14583333333333334,0.375,0.2708333333333333,1.0,0.01965798719818798
12,48,1.0616733395585893,1.137299377661317,0.9439188002138836,1.1732281297561613,0.375,0.0,0.20833333333333334,0.4166666666666667,0.2916666666666667,1.0,0.023907819273810225
16,48,0.4119443386668545,0.7969787318624529,0.1628410945383932,0.6603496685008886,0.1875,0.0,0.16666666666666666,0.6458333333333334,0.5833333333333334,1.0,0.022773644391957476
