metric,estimate,ci_low,ci_high,bootstrap_replicates
mean_delta_100k_minus_5k,-0.6218961625282167,-1.4794243441380612,-0.1134017835274209,10000
monotonic_nonincreasing_rate,0.5744920993227991,0.45245459492551526,0.6873070027465683,10000
strict_decrease_rate,0.28216704288939054,0.19374495967741936,0.39184816708683834,10000
mean_D_5k,10.040632054176072,7.817881244589406,12.270383973561938,10000
mean_D_10k,9.926636568848759,7.772290277081244,12.074873053713773,10000
mean_D_20k,9.795711060948081,7.719761438857171,11.870245883030925,10000
mean_D_50k,9.478555304740407,7.430428571428572,11.466633937450117,10000
mean_D_80k,9.389390519187359,7.408228149393024,11.343124486168875,10000
mean_D_100k,9.418735891647856,7.411507817296342,11.350496386125391,10000
