seed,layer,relative_layer,N,global_projection,global_projection_ci_low,global_projection_ci_high,global_semantic_cosine,global_semantic_cosine_ci_low,global_semantic_cosine_ci_high,global_norm_ratio,global_norm_ratio_ci_low,global_norm_ratio_ci_high,global_orthogonal_ratio,global_orthogonal_ratio_ci_low,global_orthogonal_ratio_ci_high
3409,14,5,8,0.09235889223600424,0.08032343803088907,0.10632101885442002,0.4889081056213133,0.43940756344830306,0.5395210902577412,0.19323165278084714,0.1617012344163659,0.2248010242287236,0.16893918197574956,0.1371656091605608,0.20129745542345295
3409,15,6,8,0.0633951634600101,0.05419086268823375,0.07595037835309248,0.38543506647518266,0.3294304603653859,0.4446856827365674,0.1696456970875303,0.14001251496164185,0.19801396983104244,0.1565379710674409,0.12664134831622126,0.18638538651010417
3409,16,7,8,0.0582116712957961,0.04814418507414907,0.0729319113392404,0.36086495910517813,0.2984846450682903,0.42936941180444194,0.16673092982003973,0.13634921413220344,0.1960539496236474,0.15518320956913337,0.12458619072548499,0.18603517674222136
3409,17,8,8,0.05829189103392539,0.04822597327399128,0.07095992403177148,0.3660939050329188,0.30961230092751163,0.4276543886815194,0.16520528928339417,0.1318695364092526,0.19716154505492764,0.1537598880335187,0.12088112650559521,0.18674967793922345
3409,18,9,8,0.0618564523261141,0.05157868746032613,0.07355305125570014,0.37306513596061097,0.3244439274442926,0.4240259907306605,0.17234094412948064,0.13607884307621082,0.2089425280945571,0.16030299761788797,0.12440098451152952,0.19678242895728826
3409,19,10,8,0.06510603131447731,0.05432999956437168,0.07740385073523569,0.3785394369378004,0.33064118036500684,0.42833482662110883,0.17852190042984445,0.14129806223106942,0.2164502990142929,0.16568042048655643,0.12887582020996385,0.20316822849312294
3409,20,11,8,0.063336932885997,0.0524134064761845,0.07522592616275858,0.3569093240836785,0.310333424000281,0.4043783325973059,0.18511668598142744,0.14366879341966945,0.2264774844177421,0.17344700832648863,0.13300078300642582,0.21452245786838675
3409,21,12,8,0.06341091924388782,0.052476535795847296,0.07547019627456414,0.3504973736145727,0.309223269879665,0.39290059708760794,0.18810127582242964,0.14694572658138486,0.22982730838963714,0.17669345588473123,0.13639719844609804,0.21793481683071672
3409,22,13,8,0.06354948161373596,0.05256292469879355,0.07553170996593274,0.3453608577751881,0.30740625506143876,0.3855813502083171,0.1906740939980225,0.14953527235092248,0.23273919548577857,0.1794405803860989,0.1389219351174737,0.22049543033452126
3409,23,14,8,0.06364411780518209,0.05251596856686186,0.07557248541350245,0.34283302410926586,0.3070543989817306,0.3803627607551143,0.19219896857050986,0.14930804125874536,0.23431484115032372,0.18105849466644497,0.13930627685715274,0.22230758922287136
3409,24,15,8,0.06387214341856251,0.05253759292024611,0.0757567647768031,0.3291974790211107,0.2975609188333972,0.3625564667749873,0.19991817504935236,0.15784978305518657,0.24355479200590224,0.1891942790115508,0.14762692260477542,0.23124534373382089
3409,25,16,8,0.06441529845483376,0.05266055309534166,0.0766657534614112,0.3233694594310764,0.2932883311818689,0.3564953181142979,0.20487725854177172,0.15950509331247245,0.24855390580061273,0.19425177634485685,0.1506011132032012,0.23676632535068928
3409,26,17,8,0.06392934229892851,0.052251022520558084,0.07647170383132505,0.3177393315666501,0.2884973548020722,0.3491691063229921,0.2065119511765784,0.16355651953316525,0.2503747350273194,0.19614877607687226,0.15332733385899752,0.23874869859425799
3409,27,18,8,0.06426126222700998,0.052076723809383524,0.0769360810427721,0.312712921624736,0.2858458205835783,0.34213762272596804,0.21004280914297238,0.16419960492485755,0.25465874280911904,0.19978234742097095,0.15560429567453296,0.24294179432150081
3409,28,19,8,0.06418932141300493,0.05204760408056089,0.07685882418217249,0.3110818246806263,0.28472770956127047,0.3397634202996226,0.2106564212507179,0.16731697626209147,0.2547971663198756,0.20045157914795264,0.15759579088436243,0.24316461454300298
3409,29,20,8,0.06342282399272434,0.05133047079146357,0.07603175905677892,0.30837599621000455,0.2817283324348855,0.339251706279087,0.21015773060683218,0.16519932811497706,0.2543808964451708,0.20016287415501988,0.15626744653272903,0.24343721324062148
