receiver_id,history_regime,direction,split,site_index,site_label,gravity_hat_conflict,gravity_hat_aligned,gravity_hat_edited,normalized_recovery_g,valid,invalid_reasons,writable_indicator,common_strict
eval_50003_high,hist32,high,heldout,0,after_block_0,0.04472196141257921,0.06421369918563438,0.06434678143621343,1.0068276236900242,True,,True,True
eval_50003_high,hist32,high,heldout,1,after_block_1,0.04472196141257921,0.06421369918563438,0.0635810602097748,0.9675432235326846,True,,True,True
eval_50003_high,hist32,high,heldout,2,after_block_2,0.04472196141257921,0.06421369918563438,0.05933724268502276,0.7498193051133337,True,,False,True
eval_50003_high,hist32,high,heldout,3,after_block_3,0.04472196141257921,0.06421369918563438,0.05955817714749413,0.7611540801366663,True,,False,True
eval_50003_high,hist32,high,heldout,4,after_block_4,0.04472196141257921,0.06421369918563438,0.05459518673851558,0.5065338678824644,True,,False,True
eval_50003_high,hist32,high,heldout,5,after_block_5,0.04472196141257921,0.06421369918563438,0.054041365184935214,0.4781207238093919,True,,False,True
eval_50003_high,hist32,high,heldout,6,after_block_6,0.04472196141257921,0.06421369918563438,0.05226497629581506,0.3869852432379373,True,,False,True
eval_50003_high,hist32,high,heldout,7,after_block_7,0.04472196141257921,0.06421369918563438,0.05222144248683475,0.38475179389200553,True,,False,True
eval_50003_high,hist32,high,heldout,8,after_block_8,0.04472196141257921,0.06421369918563438,0.051658495857398956,0.3558704988535509,True,,False,True
eval_50003_high,hist32,high,heldout,9,after_block_9,0.04472196141257921,0.06421369918563438,0.051044720465766996,0.32438149572934377,True,,False,True
eval_50003_high,hist32,high,heldout,10,after_block_10,0.04472196141257921,0.06421369918563438,0.05189530459646268,0.36801968441211524,True,,False,True
eval_50003_high,hist32,high,heldout,11,after_block_11,0.04472196141257921,0.06421369918563438,0.05123932922139812,0.33436566224630504,True,,False,True
eval_50003_high,hist32,high,heldout,12,after_block_12,0.04472196141257921,0.06421369918563438,0.05490800764251062,0.5225827655044855,True,,False,True
eval_50003_high,hist32,high,heldout,13,after_block_13,0.04472196141257921,0.06421369918563438,0.055605682590928504,0.5583761337788282,True,,False,True
eval_50003_high,hist32,high,heldout,14,after_block_14,0.04472196141257921,0.06421369918563438,0.059480804049710234,0.757184547061434,True,,False,True
eval_50003_high,hist32,high,heldout,15,after_block_15,0.04472196141257921,0.06421369918563438,0.059060217960503,0.7356068871265338,True,,False,True
eval_50003_high,hist32,high,heldout,16,after_block_16,0.04472196141257921,0.06421369918563438,0.06090188571125043,0.8300914206345362,True,,False,True
eval_50003_high,hist32,high,heldout,17,after_block_17,0.04472196141257921,0.06421369918563438,0.05706651224179914,0.6333222298057329,True,,False,True
eval_50003_high,hist32,high,heldout,18,after_block_18,0.04472196141257921,0.06421369918563438,0.05516949196081547,0.5359979017714178,True,,False,True
eval_50003_high,hist32,high,heldout,19,after_block_19,0.04472196141257921,0.06421369918563438,0.05330362103113938,0.44027165348095393,True,,False,True
eval_50003_high,hist32,high,heldout,20,after_block_20,0.04472196141257921,0.06421369918563438,0.05127091716725014,0.33598624355207657,True,,False,True
eval_50003_high,hist32,high,heldout,21,after_block_21,0.04472196141257921,0.06421369918563438,0.05019264166041889,0.28066662457373054,True,,False,True
