source,receiver_id,condition,gravity_true,gravity_hat_e3,gravity_hat_e0,fit_rmse,valid,invalid_reasons,detected_frames,detector_coverage,max_missing_run,max_adjacent_y_jump,future_r,future_g,future_b,future_color_coordinate
natural_model,eval_50000_high,aligned,0.06511387887451758,0.06537975040105169,0.06496229046980301,0.0006302204922079645,True,,64,1.0,,,,,,blue
natural_model,eval_50000_high,conflict,0.06511387887451758,0.04551214046886443,0.038028768270499384,0.006361287493167457,True,,64,1.0,,,,,,red
natural_model,eval_50001_high,aligned,0.0647655897226971,0.06423034044593043,0.06453609875485217,0.0006404477524038517,True,,64,1.0,,,,,,blue
natural_model,eval_50001_high,conflict,0.0647655897226971,0.04343978090784923,0.03783307354920225,0.006841126797904048,True,,64,1.0,,,,,,red
natural_model,eval_50003_high,aligned,0.06533233898124247,0.06421369918563438,0.06480655426796994,0.0006828988448204831,True,,64,1.0,,,,,,blue
natural_model,eval_50003_high,conflict,0.06533233898124247,0.04472196141257921,0.03788680210831678,0.0065284880064298565,True,,64,1.0,,,,,,red
natural_model,eval_50005_low,aligned,0.007266470942510986,0.006862231475129824,0.006709604858169602,0.0003215018827078904,True,,64,1.0,,,,,,red
natural_model,eval_50005_low,conflict,0.007266470942510986,0.014106756028437886,0.035654708820409824,0.004641063668491038,True,,58,0.90625,,,,,,blue
natural_model,eval_50006_high,aligned,0.0668358973637735,0.06706056202760094,0.06628481222219844,0.0006764491880386985,True,,64,1.0,,,,,,blue
natural_model,eval_50006_high,conflict,0.0668358973637735,0.045893383508780514,0.03746269426860895,0.006194867995291845,True,,64,1.0,,,,,,red
natural_model,eval_50007_high,aligned,0.0611354978442743,0.06107342772387357,0.0609015872207139,0.0004818317943819676,True,,64,1.0,,,,,,blue
natural_model,eval_50007_high,conflict,0.0611354978442743,0.04209568892337086,0.03806794348439774,0.006621082089593823,True,,64,1.0,,,,,,red
natural_model,eval_50009_high,aligned,0.06292371888632753,0.06314309382393411,0.0626952793361542,0.0004790876341216623,True,,64,1.0,,,,,,blue
natural_model,eval_50009_high,conflict,0.06292371888632753,0.0439453853998427,0.03784789078054383,0.00681949871765248,True,,64,1.0,,,,,,red
natural_model,eval_50013_low,aligned,0.017414317598493944,0.01721655984396899,0.017324277031535048,0.00035505170153670427,True,,64,1.0,,,,,,red
natural_model,eval_50013_low,conflict,0.017414317598493944,0.022181953574899,0.03746522767954904,0.0038745704485249398,True,,60,0.9375,,,,,,blue
natural_model,eval_50014_high,aligned,0.06461412859500178,0.0649111250286957,0.0646349058707247,0.0006075236658907978,True,,64,1.0,,,,,,blue
natural_model,eval_50014_high,conflict,0.06461412859500178,0.04385402825832608,0.03794867822089231,0.006737540893534544,True,,64,1.0,,,,,,red
natural_model,eval_50015_high,aligned,0.06669411667584542,0.06648457895058407,0.0663937701511079,0.0006094665708078774,True,,64,1.0,,,,,,blue
natural_model,eval_50015_high,conflict,0.06669411667584542,0.0450669857995652,0.0374749026385431,0.006041316692099983,True,,64,1.0,,,,,,red
natural_model,eval_50016_high,aligned,0.06640241906099656,0.06579045670406226,0.06607234361982063,0.0006081972220717433,True,,64,1.0,,,,,,blue
natural_model,eval_50016_high,conflict,0.06640241906099656,0.04484699642376828,0.0378186492135166,0.006428048309302658,True,,64,1.0,,,,,,red
natural_model,eval_50022_low,aligned,0.016146214477300393,0.0157886463276882,0.016000455425912375,0.00040739089331876877,True,,64,1.0,,,,,,red
natural_model,eval_50022_low,conflict,0.016146214477300393,0.021072786592906158,0.03743585570628684,0.004220648394092239,True,,60,0.9375,,,,,,blue
natural_model,eval_50032_low,aligned,0.013768197958166802,0.014036727638646569,0.01353030674359767,0.0002996240966793208,True,,64,1.0,,,,,,red
natural_model,eval_50032_low,conflict,0.013768197958166802,0.0199338228521074,0.03721430825351002,0.004213226943356457,True,,58,0.90625,,,,,,blue
natural_model,eval_50034_low,aligned,0.01684377991700454,0.016669812988946955,0.016644629636864684,0.00044175574407495264,True,,64,1.0,,,,,,red
natural_model,eval_50034_low,conflict,0.01684377991700454,0.02151181316634574,0.03706685532952816,0.00409061944421866,True,,60,0.9375,,,,,,blue
natural_model,eval_50035_high,aligned,0.06239539571464667,0.06241942170244177,0.06215635423389159,0.0005588109361031232,True,,64,1.0,,,,,,blue
