receiver_id,pair_id,condition,direction,gravity_hat_conflict,gravity_hat_aligned,gravity_hat_edited,recovery_denominator,normalized_recovery_g,valid,invalid_reasons,outcome,future_color_coordinate,future_r,future_g,future_b,fit_rmse,gravity_hat_e0,detector_coverage,max_missing_run,max_adjacent_y_jump,intervention_site,fm_calls_observed,fm_calls_expected,condition_prefix_tokens_edited,target_suffix_tokens_edited,intervention_scale,activation_delta_l2,generation_seed,output_video_path,output_video_sha256
eval_50281_low,eval_50281_low,natural_conflict,low,0.018680592288138755,0.013101727313543714,0.01868059228813875,-0.005578864974595041,0.0,True,,E3_fail,0.6023254594722453,44.92355272639923,83.5524861878453,181.00769581056466,0.004770231561944705,0.03684953469482568,0.9375,4,0.006680861320906395,none,20,20,0,0,0.0,0.0,17050281,videos/recovery/eval_50281_low__natural_conflict.mp4,f3f9a507112ab05292f5c149377b506b8ec52f04657bbf9f7d511bb56d5ac504
eval_50281_low,eval_50281_low,full_matched_edit,low,0.018680592288138755,0.013101727313543714,0.013476635222840021,-0.005578864974595041,0.9327985332135554,True,,E3_pass,-0.5984561612035404,200.98536585365855,48.51475535903105,50.48898887913374,0.00032083038447603323,0.013475279857969943,1.0,0,0.0030133263707451396,after_block_1,20,20,1088,0,1.0,374.20477546960063,17050281,videos/recovery/eval_50281_low__full_matched_edit.mp4,5f5ee92ed372e6ac6bf821dc4e2a578f4d95b2b6964c0ff4d6ac3a88095bfd87
eval_50281_low,eval_50281_low,top2_oracle_projection,low,0.018680592288138755,0.013101727313543714,0.012907563201832449,-0.005578864974595041,1.0348035151586294,True,,E3_pass,-0.5972129455496713,199.7584756097561,48.42055236728838,50.37532923617208,0.0004006571413302855,0.012850106305763971,1.0,0,0.0028295982990125257,after_block_1,20,20,1088,0,1.0022815498887996,374.2835253607135,17050281,videos/recovery/eval_50281_low__top2_oracle_projection.mp4,e10391e5dd0f0eed7f70a6cf7fc44be88a7ac4f5dc00130e3909420c123d3206
eval_50281_low,eval_50281_low,fit_only_controller,low,0.018680592288138755,0.013101727313543714,0.013083770309329836,-0.005578864974595041,1.003218755839342,True,,E3_pass,-0.5969503219172448,199.78587666950838,48.43882067390063,50.42338022165388,0.00039864374629101977,0.012918088622779968,1.0,0,0.0028225617837374095,after_block_1,20,20,1088,0,1.0022815498887996,374.103515625,17050281,videos/recovery/eval_50281_low__fit_only_controller.mp4,2fa82d26d7465068c56c380f6dbf53e1f8e4d3f03beb07ca9bb121c0d97ace99
eval_50282_high,eval_50282_high,natural_conflict,high,0.04546000765234416,0.0657871150269394,0.04546000765234416,0.02032710737459524,0.0,True,,E3_fail,-0.5287481632077349,168.16379734988425,47.495252165568104,51.83816425120773,0.006426381144043584,0.03776815427746962,1.0,0,0.020131045786728197,none,20,20,0,0,0.0,0.0,17050282,videos/recovery/eval_50282_high__natural_conflict.mp4,4196f94b91aace8c8adc3afabe5d6db3c58697e015cc64c99897ef507324bff4
eval_50282_high,eval_50282_high,full_matched_edit,high,0.04546000765234416,0.0657871150269394,0.06486951553323606,0.02032710737459524,0.9548583339088296,True,,E3_pass,0.6122855497370394,47.71070527454043,92.92323170731707,198.40189250035178,0.0009859095029295163,0.0651529721136759,1.0,0,0.013373299883155387,after_block_1,20,20,1088,0,1.0,369.8302319507537,17050282,videos/recovery/eval_50282_high__full_matched_edit.mp4,9d305b0bdfe9c1272636344f1edac9bcd7bc6d086ca6ae03d222ba75c0558bd8
eval_50282_high,eval_50282_high,top2_oracle_projection,high,0.04546000765234416,0.0657871150269394,0.06444887257999278,0.02032710737459524,0.9341646392531406,True,,E3_pass,0.6126850832935488,47.9247572815534,93.46385226080213,199.5470297029703,0.0009111712752558168,0.06473559448959798,1.0,0,0.013055456951077793,after_block_1,20,20,1088,0,1.0022815498887996,370.04803852567164,17050282,videos/recovery/eval_50282_high__top2_oracle_projection.mp4,119ff0e9c753449bbada0f43607c1f7e7a8d97d6492f25a4717e4524609a5d89
eval_50282_high,eval_50282_high,fit_only_controller,high,0.04546000765234416,0.0657871150269394,0.06448777710109432,0.02032710737459524,0.9360785623896006,True,,E3_pass,0.6135397274758067,47.78893601979498,93.32594127397584,199.5272277227723,0.0009400330285525244,0.06473764217856226,1.0,0,0.013055456951077793,after_block_1,20,20,1088,0,1.0022815498887996,370.5362243652344,17050282,videos/recovery/eval_50282_high__fit_only_controller.mp4,8af9e9b621c27adfec4aa6505a4c99cf104c015187d9660313e0e768c02d184b
eval_50288_low,eval_50288_low,natural_conflict,low,0.015021985920547421,0.003203717091866532,0.015021985920547414,-0.01181826882868089,0.0,True,,E3_fail,0.5708144728782586,41.98369058713887,72.85502907971262,153.65986183502935,0.004240002731826412,0.03580754004022446,0.90625,6,0.006903201139266457,none,20,20,0,0,0.0,0.0,17050288,videos/recovery/eval_50288_low__natural_conflict.mp4,db4229382dce6cb754ec550044a2c4ff90f7ea809ebf87facb9530865ad53a82
eval_50288_low,eval_50288_low,full_matched_edit,low,0.015021985920547421,0.003203717091866532,0.0028863782140591513,-0.01181826882868089,1.0268515535064877,True,,E3_pass,-0.6019411247385722,200.0394151077433,48.1220197044335,49.70686085528664,0.00034982998677495245,0.003431101499564021,1.0,0,0.0015481569311002197,after_block_1,20,20,1088,0,1.0,374.6556473739798,17050288,videos/recovery/eval_50288_low__full_matched_edit.mp4,80586fd373b01ba01f41ca3c4883f34b223940aad427a8dd27fd51058cbda982
