task,model_seed,checkpoint_step,history_regime,trajectory_id,pair_id,generation_seed,hue_u,input_r,input_g,input_b,true_gravity_band,gravity_true,gravity_hat_e3,gravity_hat_e0,fit_rmse,valid,invalid_reasons,outcome,future_r,future_g,future_b,future_color_coordinate,detector_coverage,max_missing_run,max_adjacent_y_jump,output_video_path,output_video_sha256
free_fall,3407,100000,Long,eval_50023,eval_50023_low,17050023,0.8,85,94,198,low,0.01567001929571491,-0.07512697786955944,0.046344025364652104,0.017060026425593684,True,,E3_fail,52.730054892656945,71.41206483733657,140.17987799181628,0.4533194418326268,1.0,0,0.01519631812101574,videos/behavior/eval_50023_low__long__u08.mp4,b6ecf2391f7633fcb3f23f9e00d102dbdd548a9fb0c1e85589e1915cc771a6f6
free_fall,3407,100000,Long,eval_50024,eval_50024_low,17050024,0.0,235,48,48,low,0.005389165559386035,-0.025846694407837795,0.016985323531804333,0.004673001765432643,True,,E3_fail,192.25353023909986,43.50319602272727,48.13185550082102,-0.5995442455649412,1.0,0,0.004838145231846003,videos/behavior/eval_50024_low__long__u00.mp4,f4e629dc1edd77dae3b9f018d2b00bb8e685be94207d90079f9ebabccad5338d
free_fall,3407,100000,Long,eval_50024,eval_50024_low,17050024,0.3,179,65,104,low,0.005389165559386035,-0.025565363961176472,0.018603082753915087,0.003914139458854342,True,,E3_fail,157.81343537414966,60.18030487804878,77.32577863938984,-0.3422978896668632,1.0,0,0.005140418152885795,videos/behavior/eval_50024_low__long__u03.mp4,2adf7c88700e416aae02e3eb4d09a6a0e6a2c27babd81b5c75dec8fc24a51eca
free_fall,3407,100000,Long,eval_50024,eval_50024_low,17050024,0.6,123,83,160,low,0.005389165559386035,-0.03011747046286715,0.02261149287081403,0.005324796854928374,True,,E3_fail,101.3134620470775,84.17980295566502,127.54936020913594,0.11463591116903676,1.0,0,0.006131281697975832,videos/behavior/eval_50024_low__long__u06.mp4,2b44ad7c33285848cdff30c04a0d6ca4cd5888b7d636b7dd828cb3299cb20b7e
free_fall,3407,100000,Long,eval_50024,eval_50024_low,17050024,0.9,67,100,216,low,0.005389165559386035,-0.03261154165329319,0.032246576217724886,0.008078765893512438,True,,E3_fail,54.59978929624947,80.46036414565826,168.79999146174862,0.5111920959725923,1.0,0,0.0075866429105120314,videos/behavior/eval_50024_low__long__u09.mp4,084e0c5807246152b90b70a0f67220fc26e4b4e7b8d1ae22dc94dbfe2c8074bf
free_fall,3407,100000,Long,eval_50025,eval_50025_low,17050025,0.1,216,54,67,low,0.019320798479742846,-0.04042733629080864,0.03878184013764035,0.014563111628153411,True,,E3_fail,133.7334663933542,47.54106280193237,57.334596045776166,-0.3998515993321305,1.0,0,0.012082380076821941,videos/behavior/eval_50025_low__long__u01.mp4,7df6cefb03c54007b1e99a0c393778bf3900ad1bfac6a01096d5d50fad7890d9
free_fall,3407,100000,Long,eval_50025,eval_50025_low,17050025,0.4,160,71,123,low,0.019320798479742846,-0.058694869551282225,0.042266815240568086,0.020299974251000993,True,,E3_fail,90.91181296144381,62.35780912735122,87.27042636753345,-0.020436305030308147,1.0,0,0.02318626034905724,videos/behavior/eval_50025_low__long__u04.mp4,2c5e352f1432bbc1bac7dc6c896287070a1517ead1d1a4586d15491df69b92ce
free_fall,3407,100000,Long,eval_50025,eval_50025_low,17050025,0.7,104,89,179,low,0.019320798479742846,-0.06304406512330588,0.050567748427126524,0.018703697701333507,True,,E3_fail,60.68898242877461,67.12223518199792,127.24066951566951,0.3541308484228375,1.0,0,0.020283739042423643,videos/behavior/eval_50025_low__long__u07.mp4,7bf9f177d6db7f17656e3e5f50a463bfda83e1d1b0ea333cb377244e688e5f6d
free_fall,3407,100000,Long,eval_50025,eval_50025_low,17050025,1.0,48,106,235,low,0.019320798479742846,-0.07232161788801444,0.05782750898589643,0.020971709620835825,True,,E3_fail,39.11050278077699,74.14233831080125,157.57035559850058,0.6022947723224092,1.0,0,0.015561871906096147,videos/behavior/eval_50025_low__long__u10.mp4,f598ec004e6486d952e26927c8401c710e2dea17211817cdd5ec8dfd9d56a5f1
free_fall,3407,100000,Long,eval_50026,eval_50026_low,17050026,0.2,198,60,85,low,0.020955334314552404,-0.038570084975073894,0.04105082197318124,0.0179151307837412,True,,E3_fail,120.57536114233379,52.81511382046846,64.83589722829461,-0.30062610223279057,1.0,0,0.022542419952753634,videos/behavior/eval_50026_low__long__u02.mp4,4a2ee86b69998bfa4a6aedd2ff63ec74930bd785a9c5b1689286f0e6b2d2c0db
free_fall,3407,100000,Long,eval_50026,eval_50026_low,17050026,0.5,142,77,142,low,0.020955334314552404,-0.05265280365085471,0.046943777314359225,0.021814500326337246,True,,E3_fail,77.95520050125313,65.00354796853458,100.04871400426416,0.12411813281963587,1.0,0,0.02839514012361355,videos/behavior/eval_50026_low__long__u05.mp4,8cca983f6112ef0013d1a3c1a7f583c425aabec2826844ec54476717c5259232
free_fall,3407,100000,Long,eval_50026,eval_50026_low,17050026,0.8,85,94,198,low,0.020955334314552404,-0.058837398254881317,0.055129740203288834,0.02122102663916697,True,,E3_fail,51.371467286101435,67.14878833032704,137.46038085912335,0.45590251018892275,1.0,0,0.019115717153002865,videos/behavior/eval_50026_low__long__u08.mp4,1bbb0cafe82166bf474b941bedf97635f33aeb4628000ec99566b707c0455027
free_fall,3407,100000,Long,eval_50027,eval_50027_low,17050027,0.0,235,48,48,low,0.004705016266898658,-0.02349174264715668,0.015311476236813084,0.004340162130021923,True,,E3_fail,198.85460033678476,44.137228474515354,48.78344791115812,-0.606010075945075,1.0,0,0.004245273039305331,videos/behavior/eval_50027_low__long__u00.mp4,db16943754cba23e4fc7a18fb2dd593b5a2bbeacbf19a9e8c8466b255bc9ba70
