history,direction,location,site_label,n,valid_n,valid_fraction,success_n,success_probability
long,low,14,after block 13,38,38,1.0,38,1.0
long,low,15,after block 14,38,38,1.0,38,1.0
long,low,16,after block 15,38,38,1.0,38,1.0
long,low,17,after block 16,38,38,1.0,38,1.0
long,low,18,after block 17,38,38,1.0,38,1.0
long,low,19,after block 18,38,38,1.0,38,1.0
long,low,20,after block 19,38,38,1.0,38,1.0
long,low,21,after block 20,38,38,1.0,38,1.0
long,low,22,after block 21,38,38,1.0,36,0.9473684210526315
long,low,23,after block 22,38,38,1.0,25,0.6578947368421053
long,low,24,after block 23,38,38,1.0,19,0.5
long,low,25,after block 24,38,38,1.0,17,0.4473684210526316
long,low,26,after block 25,38,38,1.0,15,0.39473684210526316
long,low,27,after block 26,38,38,1.0,10,0.2631578947368421
long,low,28,after block 27,38,38,1.0,8,0.21052631578947367
long,low,29,after block 28,38,38,1.0,6,0.15789473684210525
long,low,30,after block 29,38,38,1.0,0,0.0
