receiver_id,target_label,phase_index,diffusion_repeat,location,location_label,block_index_zero_based,omega_true,omega_aligned,omega_conflict,omega_hat,frequency_recovery,aligned_color_recovered,video,valid,detection_rate,max_missing_run,max_adjacent_jump_px,median_length_error,boundary_jump_px,median_area_px,area_valid,fit_valid,detected_color,detected_shape,amplitude_hat,fit_center,fit_rmse,strict_valid,strict_detection_rate,strict_frequency_recovery
B_002,low,2,0,0,embedding output,,2.3281417495092174,2.3392500000000003,6.005,2.358625,0.9947145877378436,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_00.mp4,True,1.0,0,2.0701386005477524,0.001295917127363433,1.2033037246269134,192.0,True,True,red,circle,0.12023308569102521,-0.0009014183727657657,0.004286710116619509,True,0.984375,1.0010570824524314
B_002,low,2,0,1,after block 0,0,2.3281417495092174,2.3392500000000003,6.005,2.358625,0.9947145877378436,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_01.mp4,True,1.0,0,2.178231713428327,0.0013809926897498381,1.0831036452701364,192.0,True,True,red,circle,0.12044373773728329,-0.000890011047374867,0.004540042493038104,True,0.984375,1.0010570824524314
B_002,low,2,0,2,after block 1,1,2.3281417495092174,2.3392500000000003,6.005,2.3625000000000003,0.9936575052854123,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_02.mp4,True,1.0,0,2.338560671407574,0.0012735757074784637,1.3136371781273848,191.0,True,True,red,circle,0.12132932334139881,-0.001070998842399784,0.004905031854469425,True,0.984375,1.0
B_002,low,2,0,3,after block 2,2,2.3281417495092174,2.3392500000000003,6.005,2.3470000000000004,0.9978858350951374,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_03.mp4,True,1.0,0,1.3908112273713864,0.0012234120346932553,0.5226749885612889,189.5,True,True,red,circle,0.12124313302329516,-0.00033837494356081407,0.003216606708614097,True,0.984375,1.0010570824524314
B_002,low,2,0,4,after block 3,3,2.3281417495092174,2.3392500000000003,6.005,2.3315,1.0021141649048626,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_04.mp4,True,0.984375,1,0.8913144683387069,0.0013020620541910888,1.175212951219214,189.0,True,True,red,circle,0.12160295351183543,0.0006652553913612069,0.0027170738450811435,True,0.984375,1.0021141649048626
B_002,low,2,0,5,after block 4,4,2.3281417495092174,2.3392500000000003,6.005,2.335375,1.0010570824524314,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_05.mp4,True,0.984375,1,0.8773066075669124,0.0013710046483121907,1.2174902975982478,188.0,True,True,red,circle,0.12199718590249126,0.0005374211772589421,0.002749394755636395,True,0.984375,1.0010570824524314
B_002,low,2,0,6,after block 5,5,2.3281417495092174,2.3392500000000003,6.005,2.3392500000000003,1.0,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_06.mp4,True,0.984375,1,0.9093798922566392,0.0015683507642456629,1.0997083700521633,184.0,True,True,red,circle,0.123581228866214,-0.0012018789211120067,0.002818271979109963,True,0.984375,0.9989429175475687
B_002,low,2,0,7,after block 6,6,2.3281417495092174,2.3392500000000003,6.005,2.343125,0.9989429175475687,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_07.mp4,True,0.984375,1,0.8861062655881047,0.0014913493821709922,1.1451311590762714,182.0,True,True,red,circle,0.12334554720640475,-0.00226709644145226,0.0032272392980418887,True,0.984375,1.0010570824524314
B_002,low,2,0,8,after block 7,7,2.3281417495092174,2.3392500000000003,6.005,2.335375,1.0010570824524314,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_08.mp4,True,0.984375,1,0.8322518075780365,0.001767302151924166,1.1086286429645904,180.0,True,True,red,circle,0.12443610047345385,-0.002922907909681315,0.0034084838417135074,True,0.984375,1.0031712473572938
B_002,low,2,0,9,after block 8,8,2.3281417495092174,2.3392500000000003,6.005,2.343125,0.9989429175475687,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_09.mp4,True,0.984375,1,0.905495954526918,0.0016348231175098982,1.1454258344347656,179.0,True,True,red,circle,0.12454894979108284,-0.0028527178712407387,0.0035674408434314435,True,0.984375,1.0021141649048626
B_002,low,2,0,10,after block 9,9,2.3281417495092174,2.3392500000000003,6.005,2.312125,1.007399577167019,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_10.mp4,True,0.984375,1,0.8706937606401398,0.0015957601425691248,1.26204733348522,175.0,True,True,red,circle,0.11923619034838094,-0.0039975061081392056,0.003826149060545141,True,0.984375,1.0095137420718816
B_002,low,2,0,11,after block 10,10,2.3281417495092174,2.3392500000000003,6.005,2.61825,0.9238900634249472,True,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_11.mp4,False,1.0,0,13.250548385425894,0.1322939612605924,3.7749745975173896,31.0,False,True,blue,circle,0.07809606847033022,0.049896908630948936,0.01839242539954626,False,0.5,1.1627906976744184
B_002,low,2,0,12,after block 11,11,2.3281417495092174,2.3392500000000003,6.005,2.273375,1.017970401691332,False,runs/pendulum/unified_mechanism_v2/paired_layer_control/large_seed3407/long_common_scan/B/videos/B_002/location_12.mp4,True,1.0,0,6.279984762463999,0.04073819927019112,3.8157325362063723,114.0,True,True,blue,circle,0.09223214253402692,0.03373787666317657,0.017757780518554693,False,0.015625,nan
