receiver_id,condition,omega_hat,valid,detected_color,omega_true,trajectory_rmse,omega_class
A_000,aligned,5.74925,True,blue,5.903332751930776,0.028581645625692827,fast
A_000,conflict,2.932125,True,red,5.903332751930776,0.1535937930640745,slow
A_001,aligned,5.695,True,blue,6.037197633367658,0.06549802335852399,fast
A_001,conflict,3.029,True,red,6.037197633367658,0.16036427969470035,
A_002,aligned,5.939125,True,blue,5.967585685556493,0.006984655810650699,fast
A_002,conflict,2.9825,True,red,5.967585685556493,0.1378987262037371,slow
A_003,aligned,5.48575,True,blue,5.435452891061592,0.013541032400228643,fast
A_003,conflict,2.8275,True,red,5.435452891061592,0.16439193022264306,slow
A_004,aligned,5.664000000000001,True,blue,5.889154870419685,0.04233190425346342,fast
A_004,conflict,2.513625,True,red,5.889154870419685,0.1272751266368348,slow
A_005,aligned,5.6175,True,blue,5.252344349929279,0.080057017277575,fast
A_005,conflict,2.629875,True,red,5.252344349929279,0.16955243192353,slow
A_006,aligned,6.24525,True,blue,5.994997208928847,0.04363702256663028,fast
A_006,conflict,2.769375,True,red,5.994997208928847,0.17582810840598376,slow
A_007,aligned,5.42375,True,blue,5.910217675633647,0.09620595603248296,fast
A_007,conflict,2.9398750000000002,True,red,5.910217675633647,0.16281168839402194,slow
A_008,aligned,5.23,True,blue,5.580062424918823,0.06332866996404134,fast
A_008,conflict,3.009625,True,red,5.580062424918823,0.13693687000240304,
A_009,aligned,5.559375,True,blue,5.561586512038221,0.013683845702209173,fast
A_009,conflict,2.75,True,red,5.561586512038221,0.14511386903776918,slow
A_010,aligned,6.187125,True,blue,5.704487769792512,0.06155709114812517,fast
A_010,conflict,2.9011250000000004,True,red,5.704487769792512,0.13344710726821354,slow
A_011,aligned,5.788,True,blue,5.932983984221261,0.028201644851185342,fast
A_011,conflict,2.8236250000000003,True,red,5.932983984221261,0.134836002320088,slow
A_012,aligned,5.57875,True,blue,5.2464624676663965,0.05783567260711613,fast
A_012,conflict,2.9282500000000002,True,red,5.2464624676663965,0.12144926499180803,slow
A_013,aligned,6.086375,True,blue,5.494775732094047,0.10913412056584612,fast
A_013,conflict,2.9476250000000004,True,red,5.494775732094047,0.1502738427226601,slow
A_014,aligned,6.2995,True,blue,6.107215482878128,0.058973512286519016,fast
A_014,conflict,2.8701250000000003,True,red,6.107215482878128,0.16220929701108466,slow
A_015,aligned,6.1135,True,blue,5.370634108182793,0.11034520042968628,fast
A_015,conflict,2.753875,True,red,5.370634108182793,0.13933121922018443,slow
A_016,aligned,5.419875,True,blue,5.419461373806479,0.012315165926799617,fast
A_016,conflict,2.7345,True,red,5.419461373806479,0.10943799394048066,slow
A_017,aligned,5.81125,True,blue,6.054841439721005,0.05279988736593132,fast
A_017,conflict,2.81975,True,red,6.054841439721005,0.16883620269253663,slow
A_018,aligned,5.629125,True,blue,5.487932583603139,0.02448851719446262,fast
A_018,conflict,3.048375,True,red,5.487932583603139,0.12970588723130416,
A_019,aligned,5.908125,True,blue,5.872104775403887,0.01174237542384371,fast
A_019,conflict,2.8313750000000004,True,red,5.872104775403887,0.16461798481907253,slow
A_020,aligned,5.908125,True,blue,5.72217128685468,0.0413484281657791,fast
A_020,conflict,2.8352500000000003,True,red,5.72217128685468,0.14379659260679672,slow
A_021,aligned,5.93525,True,blue,5.976405941229569,0.017952886362588596,fast
A_021,conflict,2.7190000000000003,True,red,5.976405941229569,0.16044825033793192,slow
A_022,aligned,6.2995,True,blue,5.599126013810987,0.13259662618333695,fast
A_022,conflict,2.81975,True,red,5.599126013810987,0.16162689881796805,slow
A_023,aligned,6.19875,True,blue,6.103609185978564,0.013311195525308388,fast
A_023,conflict,2.936,True,red,6.103609185978564,0.13496791506591507,slow
A_024,aligned,5.6446250000000004,True,blue,5.450517538995902,0.04088567676525958,fast
A_024,conflict,3.091,True,red,5.450517538995902,0.1424842718417481,
A_025,aligned,5.28425,True,blue,6.11134379461327,0.11031564543290495,fast
A_025,conflict,2.7151250000000005,True,red,6.11134379461327,0.14832985024016093,slow
A_026,aligned,5.830625,True,blue,6.277617309203974,0.06329137439495927,fast
A_026,conflict,2.595,True,red,6.277617309203974,0.13197729808488667,slow
A_027,aligned,5.350125,True,blue,5.77791754554688,0.07526621738712069,fast
A_027,conflict,2.998,True,red,5.77791754554688,0.13604929627533494,slow
A_028,aligned,5.722125,True,blue,5.750940975809126,0.015415610872207467,fast
A_028,conflict,3.0832500000000005,True,red,5.750940975809126,0.16753770397081846,
A_029,aligned,5.2455,True,blue,5.420678093143041,0.02451047060460766,fast
A_029,conflict,2.8778750000000004,True,red,5.420678093143041,0.15041646801628095,slow
A_030,aligned,5.6485,True,blue,5.248756973672216,0.0816262673021484,fast
A_030,conflict,2.6918750000000005,True,red,5.248756973672216,0.15952865697762933,slow
A_031,aligned,5.9895000000000005,True,blue,5.649831650404885,0.06757985082943092,fast
A_031,conflict,2.781,True,red,5.649831650404885,0.1521813903963816,slow
A_032,aligned,6.225875,True,blue,6.192736999220664,0.017709160980362144,fast
A_032,conflict,3.2305,True,red,6.192736999220664,0.15175006552457482,
A_033,aligned,6.3615,True,blue,5.465138637167369,0.1554610403884921,fast
A_033,conflict,2.8313750000000004,True,red,5.465138637167369,0.1685944604868892,slow
A_034,aligned,6.109625,True,blue,5.5332898344097075,0.0827759571236561,fast
A_034,conflict,2.6260000000000003,True,red,5.5332898344097075,0.14676948830512127,slow
A_035,aligned,6.675375,True,blue,6.2735602500026975,0.05376502710743234,
A_035,conflict,2.936,True,red,6.2735602500026975,0.15063524039548062,slow
A_036,aligned,5.512875,True,blue,5.9949579023077275,0.08047150852094442,fast
A_036,conflict,2.8817500000000003,True,red,5.9949579023077275,0.14163667666024843,slow
A_037,aligned,5.67175,True,blue,6.187178559350707,0.07113145113451018,fast
A_037,conflict,2.8585000000000003,True,red,6.187178559350707,0.1119744201171977,slow
A_038,aligned,6.163875,True,blue,6.288505378158094,0.024904383313127876,fast
A_038,conflict,2.746125,True,red,6.288505378158094,0.16472248729174221,slow
A_039,aligned,5.99725,True,blue,6.020840206185896,0.022853481453190782,fast
A_039,conflict,3.09875,True,red,6.020840206185896,0.1575513576380611,
A_040,aligned,6.272375,True,blue,5.36975635647785,0.1130385038219893,fast
A_040,conflict,2.68025,True,red,5.36975635647785,0.14673794635631812,slow
