receiver_id,pair_id,direction,target_label,condition,omega_true,omega_natural,omega_aligned,omega_edited,recovery_denominator,normalized_recovery,valid,outcome,invalid_reasons,detection_rate,max_missing_run,max_adjacent_jump_px,median_length_error,boundary_jump_px,median_area_px,area_valid,fit_valid,fit_rmse,detected_color,detected_shape,intervention_layer_zero_based,fm_calls_observed,fm_calls_expected,intervention_scale,condition_prefix_tokens_edited,target_suffix_tokens_edited,activation_delta_l2,output_video_path
B_134,,B,low,fit_only_predicted,2.436730943935343,5.3695,2.366375,2.29275,-3.0031250000000003,1.0245161290322582,True,physics,,0.984375,1,0.8666398379238164,0.0012789475981890286,1.0630040368063214,176.0,True,True,0.011921923668261846,red,circle,12,20,20,1.0,1088,0,227.84337046393898,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/paper_revision_20260826/top4_controller_block12/heldout/B/B_134/scale_1p00.mp4
B_136,,B,low,natural_conflict,2.8177325607584276,5.42375,2.8817500000000003,5.419875,-2.542,0.0,True,shortcut,,1.0,0,3.2567946548174747,0.016123937580331427,3.7384459819346905,208.5,True,True,0.005083172106778151,blue,circle,,0,0,0.0,0,0,0.0,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/strict_bank/natural_videos/B_136/conflict.mp4
B_136,,B,low,full_matched,2.8177325607584276,5.42375,2.8817500000000003,3.0638750000000003,-2.542,0.9283536585365854,True,compromise,,0.984375,1,1.1386051956896066,0.0013348075039164575,1.3205136295124007,181.0,True,True,0.004592810440915157,red,circle,12,20,20,1.0,1088,0,240.8596649169922,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_136/edit_full_d.mp4
B_136,,B,low,top4_oracle,2.8177325607584276,5.42375,2.8817500000000003,3.071625,-2.542,0.9253048780487806,True,compromise,,0.984375,1,1.099988835156533,0.0013800529352386293,1.2640978613168157,181.0,True,True,0.004896740366724442,red,circle,12,20,20,1.0,1088,0,235.04311477364345,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_136/edit_rank_4.mp4
B_136,,B,low,fit_only_predicted,2.8177325607584276,5.42375,2.8817500000000003,3.0445,-2.542,0.9359756097560976,True,compromise,,0.984375,1,1.1778154289798162,0.0011421569999891523,1.2896348905165826,182.0,True,True,0.00466933423335445,red,circle,12,20,20,1.0,1088,0,255.32071997071247,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/paper_revision_20260826/top4_controller_block12/heldout/B/B_136/scale_1p00.mp4
B_137,,B,low,natural_conflict,2.595599777265887,5.695,2.699625,5.695,-2.995375,0.0,True,shortcut,,1.0,0,3.0811262666002515,0.01778793615253027,1.6748888771788266,209.5,True,True,0.004069290701751404,blue,circle,,0,0,0.0,0,0,0.0,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/strict_bank/natural_videos/B_137/conflict.mp4
B_137,,B,low,full_matched,2.595599777265887,5.695,2.699625,2.6027500000000003,-2.995375,1.0323415265200517,True,physics,,1.0,0,1.357022885256953,0.001324242164632311,1.2197283383907356,177.0,True,True,0.004677372417789578,red,circle,12,20,20,1.0,1088,0,250.56024169921875,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_137/edit_full_d.mp4
B_137,,B,low,top4_oracle,2.595599777265887,5.695,2.699625,2.637625,-2.995375,1.0206985769728332,True,physics,,1.0,0,0.9578204101064683,0.001313971113619944,0.9850050726201451,178.0,True,True,0.004670032424368855,red,circle,12,20,20,1.0,1088,0,243.14670837867422,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_137/edit_rank_4.mp4
B_137,,B,low,fit_only_predicted,2.595599777265887,5.695,2.699625,2.63375,-2.995375,1.0219922380336353,True,physics,,1.0,0,4.602792604712762,0.0012414778052134978,4.490859370418356,177.0,True,True,0.0060784177542830215,red,circle,12,20,20,1.0,1088,0,232.00044655439913,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/paper_revision_20260826/top4_controller_block12/heldout/B/B_137/scale_1p00.mp4
B_144,,B,low,natural_conflict,2.6591283962747805,5.819,2.552375,5.819,-3.266625,0.0,True,shortcut,,1.0,0,2.835294518311805,0.01640729589291537,1.4115191640705953,212.0,True,True,0.004432258963479376,blue,circle,,0,0,0.0,0,0,0.0,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/strict_bank/natural_videos/B_144/conflict.mp4
